거래ID,종목코드,종목명,전략,운용,주문,데이터,신호시각,진입시각,청산시각,보유분,수량,매수평균,매도평균,초기손절,손절거리%,순손익,순수익률%,R,MFE%,MAE%,진입슬리피지%,청산슬리피지%,청산분류,진입근거,청산사유,진입등락률%,VWAP이격%,범위위치,체결강도,ATR%,거래량배수,스프레드틱,장시작후분,손절설정%,익절설정%,트레일링발동%,트레일링거리%,익일보유
005930#1-20260102150000,005930,삼성전자,종가베팅,FullAuto,Paper,Backtest,2026-01-02 15:00:00,2026-01-02 15:00:00,2026-01-05 09:01:00,3961,5,128150,134600,124300,3.004,30708,4.793,1.60,5.033,-0.195,0,0,TakeProfit,"종가베팅: 등락 +6.4%, 고저범위 99% 위치, VWAP 124,518 위",목표 익절 +5%,6.44,2.92,0.994,837.0,0.156,4.04,2,360,3,5,2.5,1.5,True
042700#3-20260105090525,042700,한미반도체,ORB,FullAuto,Paper,Backtest,2026-01-05 09:05:25,2026-01-05 09:05:25,2026-01-05 09:10:30,5.1,8,158500,156100,156200,1.451,-22074,-1.741,-1.20,0.820,-1.514,0,-0.064,StopLoss,"ORB5 고가 158,400 돌파 (범위 3.4%)","손절 (156,200)",8.64,1.55,1,304.6,1.178,1.66,1,5,1.5,4.0,1.5,1.2,False
034020#5-20260105090527,034020,두산에너빌리티,ORB,FullAuto,Paper,Backtest,2026-01-05 09:05:27,2026-01-05 09:05:27,2026-01-05 09:18:30,13,15,80100,80500,78900,1.498,3224,0.268,0.18,1.748,-0.749,0,0,Trailing,"ORB5 고가 80,000 돌파 (범위 5.1%)","트레일링 (80,500)",5.81,1.52,1,485.1,1.103,1.78,1,5,1.5,4.0,1.5,1.2,False
010120#10-20260105150000,010120,LS ELECTRIC,종가베팅,FullAuto,Paper,Backtest,2026-01-05 15:00:00,2026-01-05 15:00:00,2026-01-06 09:03:20,1083.3,6,101500,98300,98500,2.956,-20558,-3.376,-1.14,0.099,-3.153,0,-0.203,StopLoss,"종가베팅: 등락 +3.2%, 고저범위 88% 위치, VWAP 100,357 위","손절 (98,500)",3.15,1.04,0.875,534.7,0.247,1.20,1,360,3,5,2.5,1.5,True
042700#11-20260105150000,042700,한미반도체,종가베팅,FullAuto,Paper,Backtest,2026-01-05 15:00:00,2026-01-05 15:00:00,2026-01-06 09:04:30,1084.5,4,166000,171900,161100,2.952,22026,3.317,1.12,5.120,-0.241,0,-0.058,TakeProfit,"종가베팅: 등락 +13.8%, 고저범위 98% 위치, VWAP 159,782 위",1차 분할 익절 +2% / 목표 익절 +5%,13.78,3.89,0.985,280.6,0.430,2.41,1,360,3,5,2.5,1.5,True
307950#12-20260106090622,307950,현대오토에버,ORB,FullAuto,Paper,Backtest,2026-01-06 09:06:22,2026-01-06 09:06:22,2026-01-06 09:08:27,2.1,3,350500,357333.33,345500,1.427,18039,1.716,1.20,3.281,0,0,-0.140,Trailing,"ORB5 고가 350,000 돌파 (범위 7.2%)","1차 분할 익절 +2.0% / 트레일링 (357,500)",12.34,2.29,1,184.5,2.354,1.97,1,6,1.5,4.0,1.5,1.2,False
042700#20-20260106150000,042700,한미반도체,종가베팅,FullAuto,Paper,Backtest,2026-01-06 15:00:00,2026-01-06 15:00:00,2026-01-07 09:01:00,1081,3,180600,194200,175200,2.990,39467,7.284,2.44,7.586,-0.498,0,-0.051,TakeProfit,"종가베팅: 등락 +3.8%, 고저범위 96% 위치, VWAP 175,492 위",목표 익절 +5%,3.80,2.85,0.964,495.4,0.281,4.47,1,360,3,5,2.5,1.5,True
403870#18-20260106150000,403870,HPSP,종가베팅,FullAuto,Paper,Backtest,2026-01-06 15:00:00,2026-01-06 15:00:00,2026-01-07 09:01:00,1081,16,38350,36250,37200,2.999,-34939,-5.694,-1.90,1.695,-5.476,0,-2.554,StopLoss,"종가베팅: 등락 +9.4%, 고저범위 88% 위치, VWAP 37,003 위","손절 (37,200)",9.43,3.51,0.878,446.2,0.774,0.60,1,360,3,5,2.5,1.5,True
006140#22-20260107090525,006140,피제이전자,ORB,FullAuto,Paper,Backtest,2026-01-07 09:05:25,2026-01-07 09:05:25,2026-01-07 09:07:30,2.1,154,8340,8625,8220,1.439,40845,3.180,2.21,4.436,0,0,-0.116,TakeProfit,"ORB5 고가 8,310 돌파 (범위 7.9%)",1차 분할 익절 +2.0% / 목표 익절 +4.0%,14.56,3.83,1,192.6,3.557,1.24,1,5,1.5,4.0,1.5,1.2,False
012450#29-20260108090622,012450,한화에어로스페이스,ORB,FullAuto,Paper,Backtest,2026-01-08 09:06:22,2026-01-08 09:06:22,2026-01-08 09:09:30,3.1,1,1070000,1073000,1054000,1.495,534,0.050,0.03,1.495,-0.374,0,0,BreakEven,"ORB5 고가 1,068,000 돌파 (범위 4.2%)","본절 (1,073,000)",6.47,1.34,1,310.9,0.958,2.12,1,6,1.5,4.0,1.5,1.2,False
249420#26-20260107150000,249420,일동제약,종가베팅,FullAuto,Paper,Backtest,2026-01-07 15:00:00,2026-01-07 15:00:00,2026-01-08 09:14:30,1094.5,15,42950,42680,41700,2.910,-5521,-0.857,-0.29,2.328,-2.910,0,-0.053,StopLoss,"종가베팅: 등락 +10.4%, 고저범위 97% 위치, VWAP 41,389 위","1차 분할 익절 +2% / 손절 (41,700)",10.41,3.77,0.971,315.8,0.491,1.56,1,360,3,5,2.5,1.5,True
226950#28-20260107150000,226950,올릭스,종가베팅,FullAuto,Paper,Backtest,2026-01-07 15:00:00,2026-01-07 15:00:00,2026-01-08 10:00:00,1140,4,158200,157500,153500,2.971,-4248,-0.671,-0.23,1.770,-0.506,0,-0.063,NextDayDeadline,"종가베팅: 등락 +7.1%, 고저범위 92% 위치, VWAP 155,492 위",익일 청산 시각 10:00,7.11,1.74,0.917,266.9,0.275,0.85,1,360,3,5,2.5,1.5,True
